player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype
Jalen Duren,C,C,37.41,6900,DET,ORL,home,115.5,38.0,1.3475,23.6,1.8634349442379186,1.4219781784386618,0.9923570272523445,1.044973480353554,1.0269012650865201,145.8,1.0,False,6.07,0.9,1.04,58.91364406306012,10.640712500000001,74.9,48.3,26.60000000000001,0.271,68.7,5.6,2,False,False,False,2,False,0,mid,10.445599999999999,0.177,21.46,8.57,0.756,Traditional Big
Cade Cunningham,PG,PG,35.4,10200,DET,ORL,home,115.5,48.25,1.4233,30.5,2.40825278810409,1.501967748698885,0.9923570272523445,1.0045867216924627,1.0269012650865201,133.3,1.0,False,6.43,0.9,1.04,56.60845219520155,11.84,74.4,44.8,29.60000000000001,0.314,95.9,10.4,2,False,False,False,2,False,0,stud,11.844800000000001,0.223,15.0,5.21,0.364,Playmaker
Donovan Mitchell,SG/PG,SG,34.66,8700,CLE,TOR,home,130.5,44.45,1.3269,32.2,0.0,1.3269,0.9868632842358697,0.9798512253338674,1.1236743215031315,145.8,1.0,False,3.48,0.9,1.04,51.9705938940604,9.949359,66.9,42.0,24.900000000000006,0.287,63.8,20.6,3,False,False,False,3,False,0,mid_high,10.017949999999999,0.195,14.46,5.9,0.192,Combo Guard
James Harden,PG/SG,SG,36.15,8300,CLE,TOR,home,130.5,42.36,1.2172,28.6,0.0,1.2172,0.9868632842358697,0.9798512253338674,1.1236743215031315,145.8,1.0,False,4.71,0.9,1.04,49.72344068053465,11.279912,66.6,38.4,28.199999999999996,0.339,80.3,12.9,3,False,False,False,3,False,0,mid_high,11.3645,0.226,14.19,6.06,0.224,Combo Guard
Jalen Suggs,PG/SG,PG,36.29,6600,ORL,DET,away,111.0,31.53,1.1424,22.9,1.7565087605451004,1.203738206359507,0.9890594394307187,0.9712638085172975,1.0088522870978687,118.8,1.0,False,5.91,0.886,1.0386,43.969802296807124,10.0466267,59.0,33.9,25.1,0.342,62.7,9.2,2,False,False,False,2,False,0,mid,10.19,0.222,16.66,6.95,0.424,Playmaker
Scottie Barnes,PF/SF,PF,28.77,9200,TOR,CLE,away,129.0,42.05,1.2552,23.4,1.0222360248447204,1.293583652173913,0.9818583868898741,1.0039039192762054,1.1469431833670591,166.7,1.0,False,3.91,0.9,1.04,43.75731125510731,12.05,61.8,31.7,30.099999999999998,0.412,77.0,15.6,3,False,False,False,3,False,0,stud,12.05,0.249,13.67,5.27,0.38,Point Forward
RJ Barrett,SG/SF,SG,32.58,7200,TOR,CLE,away,129.0,31.91,1.0531,25.8,1.127080745341615,1.085303492753623,0.9818583868898741,1.0012106211868497,1.1469431833670591,118.8,1.0,False,4.52,0.9,1.04,41.4621507946266,6.84,51.7,34.6,17.1,0.247,53.5,18.1,3,False,False,False,3,False,0,mid_high,6.84,0.166,11.63,5.73,0.158,Scoring Wing
Ausar Thompson,SF/SG,SG,33.85,6100,DET,ORL,home,115.5,28.59,1.0996,16.9,1.3344089219330857,1.1603764044609666,0.9923570272523445,0.9563961710969078,1.0269012650865201,152.1,1.0,False,6.12,0.9,1.04,39.81304259362851,8.3871736,52.4,31.4,21.0,0.316,51.1,2.0,2,False,False,False,2,False,0,mid,8.5624,0.25,12.44,5.62,0.152,Scoring Wing
Evan Mobley,PF/C,C,27.55,7700,CLE,TOR,home,130.5,39.7,1.2445,22.6,0.0,1.2445,0.9868632842358697,0.9980686448924234,1.1236743215031315,135.4,1.0,False,4.48,0.9,1.04,39.464599832885064,11.2508676,56.3,28.2,28.099999999999998,0.427,68.9,14.8,3,False,False,False,3,False,0,mid_high,11.335849999999999,0.293,10.91,5.03,0.016,Point Center
Amen Thompson,SG/PG,PG,37.97,8800,HOU,LAL,away,102.5,39.51,1.0564,20.0,1.1354748603351956,1.0983830474860337,1.0076429727476555,0.9900838094312931,0.9069671283853628,164.6,1.0,False,4.38,0.9,1.04,39.246229935912176,8.603186899999999,52.2,30.6,21.6,0.33,66.3,14.3,3,False,False,False,3,False,0,mid_high,8.6905,0.226,10.86,4.38,-0.115,Scoring Wing
