player_name,fd_position,true_position,projected_min,salary,team,opponent,location,implied_total,fp_pg,fp_per_min,usg_pct,usg_boost,fppm_adj,ref_weight,dvp_weight,line_weight,games_pct,gp_weight,low_gp_flag,min_sd,omega,omega_weight,proj_fp,fp_sd,ceiling,floor,fp_range,upside_ratio,hist_max_fp,hist_min_fp,team_days_rest,team_is_b2b,team_is_3in4,load_mgmt_risk,opp_days_rest,opp_is_b2b,rest_advantage_days,tier,raw_fp_sd,tier_cv,tier_expected_sd,value_ratio,value_vs_tier,archetype,value,ceiling_value,floor_value,upside_per_k,value_rank,salary_tier
Tyrese Maxey,PG,PG,36.39,16000,PHI,BOS,away,99.0,48.82,1.2847,29.4,0.0,1.2847,1.001497091392656,0.9730435372340916,0.8805096489958012,145.8,1.0,False,4.96,0.9,1.04,41.71893404950925,12.0475872,59.8,29.7,30.1,0.433,86.5,15.9,1,False,False,False,1,False,0,stud,12.24,0.282,12.52,2.72,0.129,Combo Guard,2.607433378094328,3.7375,1.85625,1.1300666219056716,18.0,Star
Joel Embiid,C,C,30.04,16000,PHI,BOS,away,99.0,44.49,1.4079,33.5,0.0,1.4079,1.001497091392656,1.0263502633780297,0.8805096489958012,79.2,1.0,False,5.69,0.704,1.0204,39.05904289800966,10.95,55.5,28.1,27.4,0.421,66.0,17.2,1,False,False,False,1,False,0,stud,10.75,0.269,11.71,2.54,0.054,Point Center,2.4411901811256036,3.46875,1.75625,1.0275598188743964,20.0,Star
Jaylen Brown,SF/SG,SF,27.48,16000,BOS,PHI,home,106.5,45.23,1.3148,36.2,0.0,1.3148,1.0316559211098673,0.9813256267668086,0.9119114367347668,147.9,1.0,False,5.0,0.9,1.04,34.69049053965566,10.2412744,50.1,24.4,25.700000000000003,0.444,72.7,17.2,1,False,False,False,1,False,0,stud,10.36175,0.284,10.51,2.28,-0.054,Combo Guard,2.168155658728479,3.13125,1.525,0.9630943412715212,24.0,Star
Derrick White,SG/PG,SG,33.66,10200,BOS,PHI,home,106.5,35.38,1.0375,22.0,0.0,1.0375,1.0316559211098673,0.9386254406908264,0.9119114367347668,160.4,1.0,False,4.26,0.9,1.04,32.07121513929443,10.1962634,47.4,21.9,25.5,0.478,64.4,10.7,1,False,False,False,1,False,0,stud,10.5814,0.294,10.38,3.53,0.465,Playmaker,3.1442367783621994,4.647058823529412,2.1470588235294117,1.5028220451672127,12.0,Star
Jayson Tatum,PF/SF,,25.3,16000,BOS,PHI,home,106.5,44.15,1.3543,30.0,0.0,1.3543,1.0316559211098673,1.00085,0.9119114367347668,33.3,0.85,True,4.61,0.551,1.0051,27.5625966324488,7.97283,39.5,19.6,19.9,0.433,67.1,20.8,1,False,False,False,1,False,0,stud,10.5432,0.327,6.8,1.48,-0.386,3-and-D Wing,1.72266228952805,2.46875,1.225,0.7460877104719501,25.0,Star
VJ Edgecombe,SG/PG,SG,33.92,12300,PHI,BOS,away,99.0,32.92,0.9406,20.1,0.0,0.9406,1.001497091392656,0.9285057274489682,0.8805096489958012,156.2,1.0,False,5.3,0.9,1.04,27.168305752268797,8.336582,39.7,18.8,20.9,0.461,67.9,14.2,1,False,False,False,1,False,0,stud,10.73,0.327,7.58,2.14,-0.112,Playmaker,2.20880534571291,3.227642276422764,1.5284552845528454,1.0188369307098541,23.0,Star
Nikola Vucevic,C,C,20.68,4200,BOS,PHI,home,106.5,32.43,1.1419,21.4,0.0,1.1419,1.0316559211098673,1.026017980125162,0.9119114367347668,133.3,1.0,False,,0.881,1.0381,23.66248259275652,14.32,45.1,9.3,35.8,0.906,,,1,False,False,False,1,False,0,value,14.325,0.57,11.56,5.98,0.0,Traditional Big,5.633924426846789,10.738095238095237,2.2142857142857144,5.104170811248448,3.0,Punt
Neemias Queta,C,C,21.06,7500,BOS,PHI,home,106.5,28.13,1.1119,14.7,0.0,1.1119,1.0316559211098673,1.026017980125162,0.9119114367347668,158.3,1.0,False,5.78,0.9,1.04,23.50714820637508,9.76,38.1,13.7,24.4,0.621,62.4,5.4,1,False,False,False,1,False,0,mid_high,9.7601,0.448,6.53,2.9,-0.019,Traditional Big,3.1342864275166775,5.08,1.8266666666666667,1.9457135724833228,13.0,High
Paul George,SF/PF,SF,24.72,14700,PHI,BOS,away,99.0,33.66,1.0964,23.3,0.0,1.0964,1.001497091392656,0.945403130029384,0.8805096489958012,77.1,1.0,False,5.76,0.688,1.0188,23.02010378222264,7.773987,34.7,15.2,19.500000000000004,0.507,63.0,12.3,1,False,False,False,1,False,0,stud,11.0,0.327,7.0,1.65,-0.315,Scoring Wing,1.5659934545729688,2.360544217687075,1.034013605442177,0.7945507631141063,27.0,Star
Payton Pritchard,PG/SG,PG,26.43,9900,BOS,PHI,home,106.5,30.48,0.9407,21.4,0.0,0.9407,1.0316559211098673,0.9390775980909944,0.9119114367347668,164.6,1.0,False,3.79,0.9,1.04,22.84392178389891,9.3674556,36.9,13.5,23.4,0.615,55.4,0.4,1,False,False,False,1,False,0,stud,9.7219,0.314,8.91,3.12,0.295,Playmaker,2.3074668468584756,3.727272727272727,1.3636363636363635,1.4198058804142513,22.0,Star
Kelly Oubre,SF/PF,SF,31.3,7800,PHI,BOS,away,99.0,26.8,0.8508,18.2,0.0,0.8508,1.001497091392656,0.927063130029384,0.8805096489958012,104.2,1.0,False,,0.735,1.0235,22.28192904030474,11.247335,39.2,11.0,28.200000000000003,0.759,,,1,False,False,False,1,False,0,mid_high,15.0,0.5,7.05,3.01,0.019,3-and-D Wing,2.8566575692698386,5.025641025641026,1.4102564102564104,2.168983456371188,15.0,High
Andre Drummond,C,C,20.68,2400,PHI,BOS,away,99.0,21.63,1.1092,14.9,0.0,1.1092,1.001497091392656,0.9473202633780295,0.8805096489958012,131.2,1.0,False,9.27,0.708,1.0208,19.5605785355027,11.8196416,37.3,7.7,29.6,0.907,48.3,0.0,1,False,False,False,1,False,0,punt,12.16,0.496,20.4,10.22,2.418,Traditional Big,8.150241056459459,15.541666666666666,3.2083333333333335,7.391425610207207,1.0,Punt
Sam Hauser,SF/PF,PF,23.33,3300,BOS,PHI,home,106.5,18.01,0.7262,14.5,0.0,0.7262,1.0316559211098673,0.9477116513037286,0.9119114367347668,162.5,1.0,False,5.79,0.9,1.04,15.709706820407648,7.567916199999999,27.1,8.1,19.0,0.725,45.7,0.0,1,False,False,False,1,False,0,punt,7.926500000000001,0.471,14.0,5.1,0.706,Stretch 4,4.760517218305348,8.212121212121213,2.4545454545454546,3.4516039938158647,5.0,Punt
Luka Garza,C,C,11.31,1500,BOS,PHI,home,106.5,16.22,1.0012,17.7,0.0,1.0012,1.0316559211098673,1.048697980125162,0.9119114367347668,143.8,1.0,False,7.45,0.9,1.04,11.6186255217089,9.483566,25.8,2.1,23.7,1.221,43.9,0.0,1,False,False,False,1,False,0,punt,9.3208,1.051,7.38,5.91,0.977,Stretch 5,7.7457503478059335,17.2,1.4000000000000001,9.454249652194067,2.0,Punt
Quentin Grimes,SG/SF,SF,12.77,3900,PHI,BOS,away,99.0,24.77,0.8425,19.0,0.0,0.8425,1.001497091392656,0.946453130029384,0.8805096489958012,156.2,1.0,False,6.93,0.9,1.04,9.338498852908504,10.0472437,24.4,0.0,24.4,1.613,50.7,4.1,1,False,False,False,1,False,0,punt,11.21,1.272,6.71,2.07,-0.308,Shooting Wing,2.394486885361155,6.256410256410256,0.0,3.861923371049101,21.0,Punt
Adem Bona,C,C,11.31,1500,PHI,BOS,away,99.0,14.71,0.8454,11.1,0.0,0.8454,1.001497091392656,0.9473202633780295,0.8805096489958012,147.9,1.0,False,7.07,0.9,1.04,8.306897020551796,8.0968433,20.5,0.2,20.3,1.468,32.1,0.0,1,False,False,False,1,False,0,punt,8.33,1.151,6.02,4.83,0.615,Traditional Big,5.53793134703453,13.666666666666666,0.13333333333333333,8.128735319632137,4.0,Punt
Dalano Banton,SG,,11.78,1500,BOS,PHI,home,106.5,7.66,0.7437,15.3,0.0,0.7437,1.0316559211098673,1.00085,0.9119114367347668,12.5,0.85,True,11.73,0.1,0.96,6.731157642408587,6.020932500000001,15.8,0.7,15.1,1.347,26.3,0.0,1,False,False,False,1,False,0,punt,8.5186,1.037,4.68,3.75,0.254,3-and-D Wing,4.487438428272392,10.533333333333333,0.4666666666666666,6.045894905060943,6.0,Punt
Baylor Scheierman,SG,SF,9.0,1800,BOS,PHI,home,106.5,13.15,0.707,11.9,0.0,0.707,1.0316559211098673,1.0019056267668085,0.9119114367347668,160.4,1.0,False,9.39,0.846,1.0346,6.205099508937005,9.65,20.7,0.0,20.7,2.336,54.9,0.0,1,False,False,False,1,False,0,punt,9.645499999999998,1.008,7.96,5.32,0.779,Shooting Wing,3.447277504965003,11.5,0.0,8.052722495034997,9.0,Punt
Jordan Walsh,SF,PF,7.61,2100,BOS,PHI,home,106.5,14.5,0.8146,11.7,0.0,0.8146,1.0316559211098673,0.9477116513037286,0.9119114367347668,141.7,1.0,False,8.51,0.815,1.0315,5.701144547958911,6.0314288000000005,14.7,0.0,14.7,1.578,43.9,0.0,1,False,False,False,1,False,0,punt,10.0466,1.272,4.14,2.37,-0.207,Stretch 4,2.714830737123291,6.999999999999999,0.0,4.285169262876709,17.0,Punt
Ron Harper,SF/SG,SF,6.64,1500,BOS,PHI,home,106.5,8.94,0.8127,16.4,0.0,0.8127,1.0316559211098673,1.0539156267668086,0.9119114367347668,60.4,1.0,False,,0.516,1.0016,5.359028128111744,6.7232025,15.4,0.0,15.4,1.874,,,1,False,False,False,1,False,0,punt,14.325,1.272,4.26,3.41,0.14,3-and-D Wing,3.5726854187411625,10.266666666666667,0.0,6.693981247925504,7.0,Punt
Justin Edwards,SF,SF,7.83,1500,PHI,BOS,away,99.0,12.15,0.7941,16.1,0.0,0.7941,1.001497091392656,0.927063130029384,0.8805096489958012,133.3,1.0,False,8.98,0.739,1.0239,5.204603172689232,7.016422599999999,15.7,0.0,15.7,2.017,44.0,0.0,1,False,False,False,1,False,0,punt,10.48,1.272,4.79,3.84,0.284,3-and-D Wing,3.4697354484594882,10.466666666666667,0.0,6.996931218207178,8.0,Punt
Jabari Walker,PF,PF,7.02,1500,PHI,BOS,away,99.0,10.05,0.8445,15.0,0.0,0.8445,1.001497091392656,0.9395469041281448,0.8805096489958012,133.3,1.0,False,6.45,0.9,1.04,5.10825281537669,5.5072143,13.4,0.0,13.4,1.623,39.0,0.0,1,False,False,False,1,False,0,punt,8.5,1.272,3.71,2.97,-0.007,Stretch 4,3.405501876917793,8.933333333333334,0.0,5.527831456415541,10.0,Punt
Dalen Terry,SF,SF,6.85,1500,PHI,BOS,away,99.0,10.16,0.8835,14.8,0.0,0.8835,1.001497091392656,0.927063130029384,0.8805096489958012,100.0,1.0,False,7.33,0.691,1.0191,5.042048837762799,4.738239,12.1,0.3,11.8,1.4,32.0,-1.0,1,False,False,False,1,False,0,punt,8.55,1.272,3.24,2.59,-0.134,3-and-D Wing,3.361365891841866,8.066666666666666,0.19999999999999998,4.7053007748248,11.0,Punt
Max Shulga,PG,,12.77,1500,BOS,PHI,home,106.5,1.5,0.4545,14.3,0.0,0.4545,1.0316559211098673,1.00085,0.9119114367347668,22.9,0.85,True,4.88,0.48,0.998,4.635865025800995,3.676590000000001,10.2,1.0,9.2,1.2,8.6,0.0,1,False,False,False,1,False,0,punt,2.9127499999999995,0.952,3.11,2.49,-0.167,3-and-D Wing,3.09057668386733,6.8,0.6666666666666666,3.7094233161326695,14.0,Punt
Amari Williams,C,C,5.78,1500,BOS,PHI,home,106.5,5.61,0.85,11.1,0.0,0.85,1.0316559211098673,1.026017980125162,0.9119114367347668,45.8,0.9,True,6.33,0.491,0.9991,4.264231182129055,5.34,12.3,0.0,12.3,1.884,25.9,0.0,1,False,False,False,1,False,0,punt,6.63725,1.048,4.23,3.39,0.134,Traditional Big,2.8428207880860366,8.200000000000001,0.0,5.357179211913963,16.0,Punt
Dominick Barlow,PF,PF,5.4,1500,PHI,BOS,away,99.0,19.26,0.8092,12.8,0.0,0.8092,1.001497091392656,0.9365369041281448,0.8805096489958012,147.9,1.0,False,7.66,0.9,1.04,3.753113345121424,5.3944654000000005,11.8,0.0,11.8,2.144,57.2,1.2,1,False,False,False,1,False,0,punt,9.96,1.272,3.74,2.99,0.0,Versatile Big,2.5020755634142824,7.866666666666667,0.0,5.364591103252384,19.0,Punt
Trendon Watford,PF/C,PF,3.26,1500,PHI,BOS,away,99.0,15.11,0.927,17.9,0.0,0.927,1.001497091392656,0.9365369041281448,0.8805096489958012,110.4,1.0,False,8.27,0.676,1.0176,2.539704214925214,3.3632744000000003,7.6,0.0,7.6,1.992,57.4,0.0,1,False,False,False,1,False,0,punt,11.94,3.67,0.81,0.65,-0.783,Versatile Big,1.693136143283476,5.066666666666666,0.0,3.3735305233831903,26.0,Punt
Hugo Gonzalez,SF,SF,2.92,1500,BOS,PHI,home,106.5,10.81,0.7404,11.8,0.0,0.7404,1.0316559211098673,1.0539156267668086,0.9119114367347668,154.2,1.0,False,,0.9,1.04,2.229338326304453,4.2859125,8.7,0.0,8.7,2.903,,,1,False,False,False,1,False,0,punt,14.325,1.272,2.71,2.17,-0.274,3-and-D Wing,1.4862255508696354,5.8,0.0,4.3137744491303645,28.0,Punt
Kyle Lowry,PG,PG,6.87,1500,PHI,BOS,away,99.0,3.42,0.4071,11.3,0.0,0.4071,1.001497091392656,0.9397235372340916,0.8805096489958012,29.2,0.85,True,5.2,0.489,0.9989,1.9678078778506176,3.4509572,7.1,0.0,7.1,2.608,14.7,0.0,1,False,False,False,1,False,0,punt,3.9,2.438,1.21,0.97,-0.676,Playmaker,1.3118719185670784,4.733333333333333,0.0,3.4214614147662545,29.0,Punt
