player_name,team,salary,proj_fp,fd_position,appearances,pown_pct,salary_tier,raw_pown,ownership_tier,value
Ty Jerome,MEM,7300,69.83507015997164,PG/SG,500,30.4,mid_high,100.0,Chalk (30%+),9.566447967119402
Paul Reed,DET,5900,58.625653816256126,C,500,31.1,mid,100.0,Chalk (30%+),9.936551494280698
Olivier-Maxence Prosper,MEM,5500,43.43379435532057,PF/C,489,30.5,mid,97.8,Chalk (30%+),7.897053519149195
Jaylen Wells,MEM,5600,40.30400317008849,SG/SF,474,29.5,mid,94.8,Popular (15-30%),7.197143423230089
Kyle Filipowski,UTA,7200,47.58983923441614,PF/C,451,27.4,mid_high,90.2,Popular (15-30%),6.609699893668908
Ausar Thompson,DET,6200,38.56163927645011,SF/SG,366,22.8,mid,73.2,Popular (15-30%),6.219619238137114
De'Aaron Fox,SA,7100,44.197195207359606,PG,287,17.4,mid_high,57.4,Popular (15-30%),6.2249570714591
Walter Clayton,MEM,4200,32.25931200325423,PG,257,15.4,value,51.4,Popular (15-30%),7.6807885722033875
Cade Cunningham,DET,11300,57.39711482549546,PG,174,10.4,stud,34.8,Moderate (5-15%),5.079390692521722
Isaiah Collier,UTA,8200,44.03823915034789,PG,165,10.0,mid_high,33.0,Moderate (5-15%),5.370516969554622
Amen Thompson,HOU,8300,43.61797931713985,SG/PG,161,9.8,mid_high,32.2,Moderate (5-15%),5.255178230980704
Tobias Harris,DET,6000,33.98635475318181,PF/SF,156,9.7,mid,31.2,Moderate (5-15%),5.6643924588636345
Stephon Castle,SA,7800,41.82334704587725,SG/PG,113,6.9,mid_high,22.6,Moderate (5-15%),5.361967569984262
Devin Vassell,SA,4800,28.60039402172995,SF/SG,73,4.4,value,14.6,Low (1-5%),5.95841542119374
Tari Eason,HOU,6000,33.15846168534184,SF/PF,70,4.4,mid,14.0,Low (1-5%),5.526410280890307
Keegan Murray,SAC,6000,32.896904767391355,PF/SF,60,3.7,mid,12.0,Low (1-5%),5.4828174612318925
Julian Champagnie,SA,4100,25.19042516225661,SG/SF,47,2.8,value,9.4,Low (1-5%),6.144006137135759
Russell Westbrook,SAC,5900,32.575873050133794,PG,30,1.9,mid,6.0,Low (1-5%),5.521334415276914
Alperen Sengun,HOU,9400,47.228126956365465,C/PF,27,1.6,stud,5.4,Low (1-5%),5.024268825145262
Dylan Harper,SA,5400,28.40931830493649,SG/PG,24,1.5,mid,4.8,Low (1-5%),5.260984871284535
Duncan Robinson,DET,4400,24.994854012510256,SG/SF,22,1.3,value,4.4,Low (1-5%),5.680648639206876
DeMar DeRozan,SAC,6800,32.43228867601401,SF/PF,16,1.0,mid,3.2,Low (1-5%),4.7694542170608845
Victor Wembanyama,SA,11600,55.839396000614734,C/PF,15,0.9,stud,3.0,Low (1-5%),4.813741034535753
Kevin Love,UTA,3700,25.51461984559151,PF,6,0.4,punt,1.2,Low (1-5%),6.8958432015112185
Tristen Newton,HOU,3500,20.91020141261795,PG,6,0.4,punt,1.2,Low (1-5%),5.974343260747986
Isaiah Stevens,SAC,3600,22.48729053508732,PG,5,0.3,punt,1.0,Low (1-5%),6.24646959307981
Kevin Durant,HOU,8800,37.43379602003206,SF/PF,4,0.2,mid_high,0.8,Low (1-5%),4.253840456821825
Taylor Hendricks,MEM,4400,22.84354034482158,PF,1,0.1,value,0.2,Low (1-5%),5.191713714732177
Tolu Smith,DET,3600,22.164191651380868,PF,1,0.1,punt,0.2,Low (1-5%),6.156719903161352
Cam Spencer,MEM,5700,24.39506518570888,SG/PG,0,0.0,mid,0.0,Contrarian (0%),4.2798359974927855
Ace Bailey,UTA,6100,25.816564685093507,SG/SF,0,0.0,mid,0.0,Contrarian (0%),4.232223718867789
Jabari Smith,HOU,6500,27.3007958681748,PF/C,0,0.0,mid,0.0,Contrarian (0%),4.200122441257661
Luke Kornet,SA,4500,21.470605606685947,C,0,0.0,value,0.0,Contrarian (0%),4.771245690374655
Maxime Raynaud,SAC,6300,19.383247752752627,C,0,0.0,mid,0.0,Contrarian (0%),3.076705992500417
Malik Monk,SAC,4700,18.391914392168253,SG/PG,0,0.0,value,0.0,Contrarian (0%),3.9131732749294152
John Konchar,UTA,5000,18.0519023952046,SF,0,0.0,mid,0.0,Contrarian (0%),3.61038047904092
Nique Clifford,SAC,5500,17.895092545154682,SG/SF,0,0.0,mid,0.0,Contrarian (0%),3.2536531900281243
Harrison Barnes,SA,4200,17.74921280996811,PF/SF,0,0.0,value,0.0,Contrarian (0%),4.226003049992407
Caris LeVert,DET,3900,17.556604988658155,SG/SF,0,0.0,punt,0.0,Contrarian (0%),4.501693586835424
Daniss Jenkins,DET,4300,16.91280380207011,PG/SG,0,0.0,value,0.0,Contrarian (0%),3.9332101865279325
Precious Achiuwa,SAC,5600,16.722446881473896,PF/C,0,0.0,mid,0.0,Contrarian (0%),2.9861512288346246
Bobi Klintman,DET,3500,14.529710381954356,PF,0,0.0,punt,0.0,Contrarian (0%),4.1513458234155305
Cody Williams,UTA,4100,14.06710777313744,SF,0,0.0,value,0.0,Contrarian (0%),3.431001895887181
Jordan McLaughlin,SA,3500,13.51095699324799,PG,0,0.0,punt,0.0,Contrarian (0%),3.860273426642283
Elijah Harkless,UTA,3500,10.247493433247213,SG,0,0.0,punt,0.0,Contrarian (0%),2.927855266642061
