player,team,opponent,salary,value,stat,player_avg,projected_value,adjusted_avg,extra_fp,edge_pct,recommendation,book_line,book_over,book_under,vs_book_edge,archetype,dva_edge,dvp_edge,blend,hit_rate,cv,last5_avg,hit_rate_unweighted,cv_unweighted,last5_avg_unweighted,playoff_n,playoff_weight_applied,confidence,confidence_reasons,gate_fail_count,composite_score,pace_factor,total_factor,physical_edge,usage_boost,opportunity_index,cascade_tier,opportunity_spike,out_player_details,total_vacated_usage,total_vacated_minutes,projected_min,implied_team_total,blowout_cap,projection_factors,opening_line,current_line,line_drift,line_drift_pct,line_snapshots,last_hour_drift,last_hour_from,last_hour_minutes,move_pattern,largest_swing,largest_swing_share
Paul George,PHI,NY,6700,4.12,PTS,17.3,14.4,15.1,-2.2,-9.5,UNDER,26.5,-106.0,-125.0,-45.7,Scoring Wing,-2.84,-0.58,29/70 DVP/DVA,91.3,0.39,17.0,91.3,0.39,17.0,0,False,LOW,High variance (CV 0.39 > 0.30),1,63.2,1.0,1.002,,,,,,,0.0,0.0,28.5,105.0,,DVA -2.8; DVP -0.6; H2H -1.1,15.5,26.5,11.0,70.97,6.0,9.0,17.5,89.9,sudden_swing,9.0,0.82
De'Aaron Fox,SA,MIN,7300,4.98,PTS,18.6,22.5,20.4,1.8,7.7,OVER,17.5,-104.0,-122.0,28.6,Playmaker,2.05,1.34,29/70 DVP/DVA,53.2,0.37,18.8,53.2,0.37,18.8,0,False,LOW,Hit rate 53.2% < 58%; High variance (CV 0.37 > 0.30),2,63.1,1.0,0.998,,2.7,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,30.5,114.0,0.997,DVA +2.0; DVP +1.3; Opp Ratio ×1.16 (+3.4) T1; Blowout cap 1.00; H2H -0.3; Inflation cap 23.9→22.5,17.5,17.5,0.0,0.0,6.0,0.0,17.5,89.9,flat,0.0,0.0
Mikal Bridges,NY,PHI,5100,5.59,REB,3.8,4.4,4.7,1.1,11.3,OVER,2.5,120.0,-160.0,76.0,3-and-D Wing,1.14,0.28,29/70 DVP/DVA,67.0,0.6,2.2,67.0,0.6,2.2,0,False,LOW,High variance (CV 0.6 > 0.30); Trending down (last 5: 2.2 vs avg 3.7); Last-5 avg 2.2 below line 2.5 for OVER,3,59.9,1.0,1.002,,1.6,,,,,0.0,0.0,29.4,113.5,,RES 1.02; Recent ↓1.0; RebFit -5%; DVA +1.1; Teammate OUT +0.9 reb; Share 6.1%; GameReb 89,2.5,2.5,0.0,0.0,6.0,0.0,2.5,89.9,flat,0.0,0.0
Andre Drummond,PHI,NY,3600,10.33,PTS,6.4,0.0,3.7,-2.7,-12.6,UNDER,4.5,100.0,-132.0,-100.0,Traditional Big,-2.81,-2.56,29/70 DVP/DVA,41.7,0.73,1.8,41.7,0.73,1.8,0,False,LOW,Hit rate 41.7% < 58%; High variance (CV 0.73 > 0.30),2,59.0,1.0,1.002,,,,,,,0.0,0.0,30.9,105.0,,ROLE CHANGE ↓ (20→8 min); DVA -2.8; DVP -2.6; Min proj 31; H2H -1.2,1.5,4.5,3.0,200.0,6.0,-2.0,6.5,89.9,sudden_swing,5.0,0.71
Stephon Castle,SA,MIN,7400,4.9,PTS,16.7,21.2,17.6,0.9,3.8,OVER,16.5,-125.0,-102.0,28.5,Scoring Wing,0.73,1.34,29/70 DVP/DVA,50.7,0.38,19.8,50.7,0.38,19.8,0,False,LOW,Hit rate 50.7% < 58%; High variance (CV 0.38 > 0.30),2,57.9,1.0,0.998,,2.7,1.16,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,29.3,114.0,0.997,Recent trend ↑1.0; DVA +0.7; DVP +1.3; Opp Ratio ×1.16 (+3.1) T1; Blowout cap 1.00; H2H -1.2; Inflation cap 21.2→21.2,16.5,16.5,0.0,0.0,6.0,0.0,16.5,89.9,flat,0.0,0.0
Jalen Brunson,NY,PHI,8900,4.37,REB,3.3,4.0,3.7,0.5,7.0,OVER,2.5,122.0,-162.0,60.0,Combo Guard,0.56,0.11,29/70 DVP/DVA,65.4,0.59,1.8,65.4,0.59,1.8,0,False,LOW,High variance (CV 0.59 > 0.30); Trending down (last 5: 1.8 vs avg 3.2); Last-5 avg 1.8 below line 2.5 for OVER,3,57.1,1.0,1.002,-0.13,1.6,,,,,0.0,0.0,33.0,113.5,,RES 1.02; Recent ↓0.6; RebFit -5%; DVA +0.6; Teammate OUT +0.9 reb; Inflation cap 4.0→4.0; Share 4.9%; GameReb 89,2.5,2.5,0.0,0.0,6.0,0.0,2.5,89.9,flat,0.0,0.0
Jalen Brunson,NY,PHI,8900,4.37,AST,6.8,5.4,5.3,-2.2,-17.5,UNDER,7.5,114.0,-152.0,-28.0,Combo Guard,-1.85,-0.54,29/70 DVP/DVA,59.3,0.46,5.2,59.3,0.46,5.2,0,False,LOW,High variance (CV 0.46 > 0.30),1,56.0,1.0,1.002,,1.6,,,,,0.0,0.0,33.0,113.5,,DVA -1.9; Playmaking idx 3.2; Teammate OUT +0.1 ast,6.5,7.5,1.0,15.38,6.0,1.0,6.5,89.9,sudden_swing,1.0,1.0
Adem Bona,PHI,NY,3500,4.56,PTS,4.8,1.2,2.8,-2.0,-9.3,UNDER,3.5,-118.0,-112.0,-65.7,Traditional Big,-1.8,-2.56,29/70 DVP/DVA,46.8,0.8,2.8,46.8,0.8,2.8,0,False,LOW,Hit rate 46.8% < 58%; High variance (CV 0.8 > 0.30),2,55.0,1.0,1.002,,,,,,,0.0,0.0,19.8,105.0,,ROLE CHANGE ↓ (17→11 min); DVA -1.8; DVP -2.6; Min proj 20; H2H -0.5,3.5,3.5,0.0,0.0,4.0,0.0,3.5,89.9,flat,0.0,0.0
Luke Kornet,SA,MIN,3600,6.27,REB,6.1,6.7,6.3,0.3,1.6,OVER,3.5,102.0,-130.0,91.4,Traditional Big,0.4,-0.15,29/70 DVP/DVA,82.2,0.47,6.2,82.2,0.47,6.2,0,False,LOW,"High variance (CV 0.47 > 0.30); Weak matchup: DVA +0.4, DVP -0.2 — need ≥0.5 directional support for OVER",2,54.9,1.0,0.998,0.61,1.1,1.15,1.0,,"[{'name': 'Carter Bryant', 'usg': 16.3, 'mpg': 11.5, 'rpg': 2.5, 'apg': 0.7, 'archetype': 'Unknown', 'creation_idx': 0.0, 'playmaking_idx': 0.0, 'perimeter_idx': 0.0, 'interior_idx': 0.0}]",16.3,11.5,20.6,114.0,0.997,RES 0.98; Size +2in ws+5; RebFit +8%; BoxOuts 3.0/48; DVA +0.4; Blowout cap 1.00; Share 19.1%; GameReb 86,3.5,3.5,0.0,0.0,6.0,0.0,3.5,89.9,flat,0.0,0.0
Rudy Gobert,MIN,SA,6300,4.86,PTS,10.9,8.6,11.3,0.4,2.0,OVER,7.5,-120.0,-106.0,14.7,Traditional Big,0.26,0.84,29/70 DVP/DVA,71.1,0.49,6.8,71.1,0.49,6.8,0,False,LOW,High variance (CV 0.49 > 0.30); Trending down (last 5: 6.8 vs avg 10.6); Last-5 avg 6.8 below line 7.5 for OVER; Low implied team total (103.5) suppresses OVER,4,54.8,1.0,0.998,,,,,,,0.0,0.0,28.5,103.5,,Recent trend ↓2.0; DVP +0.8; Min proj 28; H2H -0.5,7.5,7.5,0.0,0.0,6.0,0.0,7.5,89.9,flat,0.0,0.0
