player_name,team,opponent,position,salary,stat,player_avg,opp_allows,league_avg,extra_fp,edge_pct,recommendation
Stephon Castle,SA,MIN,PG,7400,Points,16.7,25.3,24.0,1.3,5.6,MIN gives up +1.3 FP in Points to PGs
De'Aaron Fox,SA,MIN,PG,7200,Points,18.6,25.3,24.0,1.3,5.6,MIN gives up +1.3 FP in Points to PGs
Victor Wembanyama,SA,MIN,C,12600,Assists,3.1,4.6,4.0,0.9,14.3,MIN gives up +0.9 FP in Assists to Cs
Stephon Castle,SA,MIN,PG,7400,Rebounds,5.3,6.8,6.1,0.9,11.7,MIN gives up +0.9 FP in Rebounds to PGs
Rudy Gobert,MIN,SA,C,6200,Points,10.9,22.6,21.8,0.8,3.9,SA gives up +0.8 FP in Points to Cs
Naz Reid,MIN,SA,C,5400,Points,13.6,22.6,21.8,0.8,3.9,SA gives up +0.8 FP in Points to Cs
Mikal Bridges,NY,PHI,SF,5200,Assists,3.7,4.9,4.5,0.6,9.6,PHI gives up +0.6 FP in Assists to SFs
Miles McBride,NY,PHI,SG,3600,Points,12.0,24.0,23.4,0.6,2.7,PHI gives up +0.6 FP in Points to SGs
Josh Hart,NY,PHI,SF,6600,Assists,4.8,4.9,4.5,0.6,9.6,PHI gives up +0.6 FP in Assists to SFs
Karl-Anthony Towns,NY,PHI,C,9300,Rebounds,11.9,14.9,14.4,0.5,3.1,PHI gives up +0.5 FP in Rebounds to Cs
Stephon Castle,SA,MIN,PG,7400,Assists,7.4,8.7,8.3,0.5,4.4,MIN gives up +0.5 FP in Assists to PGs
De'Aaron Fox,SA,MIN,PG,7200,Assists,6.2,8.7,8.3,0.5,4.4,MIN gives up +0.5 FP in Assists to PGs
Mitchell Robinson,NY,PHI,C,3800,Rebounds,8.8,14.9,14.4,0.5,3.1,PHI gives up +0.5 FP in Rebounds to Cs
