player,team,opponent,stat,book_line,player_avg,last5_avg,projected_value,vs_book_edge,recommendation,hit_rate,cv,composite_score,confidence,over_odds,under_odds,game_date,game_spread,game_total,model_mean,p_over,p_under,p_push,q10,q25,q50,q75,q90,distribution_method,model_version,projected_minutes,opportunity_rate,outcome_rate,opportunity_component,conversion_component,profile_confidence,evidence_json,selected_probability,market_no_vig_probability,probability_edge_pp,expected_roi,selected_odds
Jonquel Jones,NY,ATL,REB,8.5,9.045454545454545,7.2,7.1,-16.5,UNDER,45.0,0.395,72.1,LOW,-114,-114,2026-09-23,-1.5,176.5,7.070247933884297,0.2211,0.7789,0.0,4.0,6.0,7.0,8.0,10.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.945,,0.28099,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9348, ""bounded_matchup_factor"": 0.9115, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 56, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9115, ""sample_games"": 44, ""shrinkage_weight"": 0.7368, ""source"": ""wnba_player_game_logs""}",0.7789,0.5,27.890000000000004,0.4621456140350878,-114.0
Sabrina Ionescu,NY,ATL,PTS,14.5,15.193548387096774,9.4,11.1,-23.4,UNDER,45.0,0.509,61.7,LOW,-108,-120,2026-09-23,-1.5,176.5,11.055150884495317,0.2425,0.7575,0.0,5.0,7.0,11.0,14.0,18.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,28.025,,0.3956,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9769, ""bounded_matchup_factor"": 0.9746, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 203, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9746, ""sample_games"": 31, ""shrinkage_weight"": 0.9103, ""source"": ""wnba_player_game_logs""}",0.7575,0.5123152709359606,24.518472906403932,0.38875,-120.0
Naz Hillmon,ATL,NY,REB,3.5,4.571428571428571,5.0,4.9,40.0,OVER,67.0,0.446,56.7,HIGH,-152,114,2026-09-23,-1.5,176.5,4.8854875283446715,0.7086,0.2914,0.0,2.0,3.0,5.0,7.0,8.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.107,,0.18724,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9608, ""bounded_matchup_factor"": 0.9556, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 152, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9556, ""sample_games"": 42, ""shrinkage_weight"": 0.8837, ""source"": ""wnba_player_game_logs""}",0.7086,0.563470066518847,14.5129933481153,0.17478421052631582,-152.0
Jessica Shepard,DAL,SEA,PTS,13.5,14.166666666666666,15.6,16.2,20.0,OVER,52.0,0.401,55.8,LOW,-130,100,2026-09-23,9.5,173.5,16.248866213151928,0.6701,0.3299,0.0,8.0,12.0,16.0,21.0,25.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.562,,0.48805,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.092, ""bounded_matchup_factor"": 1.1043, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 150, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1043, ""sample_games"": 42, ""shrinkage_weight"": 0.8824, ""source"": ""wnba_player_game_logs""}",0.6701,0.5306122448979592,13.948775510204081,0.1855615384615385,-130.0
Jonquel Jones,NY,ATL,AST,2.5,2.727272727272727,1.2,1.8,-28.0,UNDER,57.0,0.649,55.2,MEDIUM,138,-186,2026-09-23,-1.5,176.5,1.824896694214876,0.1942,0.8058,0.0,1.0,1.0,1.0,2.0,4.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,26.945,,0.06697,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.1, ""bounded_matchup_factor"": 1.1357, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 56, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1357, ""sample_games"": 44, ""shrinkage_weight"": 0.7368, ""source"": ""wnba_player_game_logs""}",0.8058,0.6075094691771422,19.829053082285775,0.23902580645161284,-186.0
Jessica Shepard,DAL,SEA,REB,10.5,10.976190476190476,11.0,12.3,17.1,OVER,50.0,0.374,55.0,LOW,-110,-120,2026-09-23,9.5,173.5,12.34013605442177,0.6241,0.3759,0.0,7.0,9.0,13.0,16.0,18.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.562,,0.3533,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.1472, ""bounded_matchup_factor"": 1.1668, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 150, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.1668, ""sample_games"": 42, ""shrinkage_weight"": 0.8824, ""source"": ""wnba_player_game_logs""}",0.6241,0.48987854251012153,13.422145748987846,0.19146363636363628,-110.0
Allisha Gray,ATL,NY,REB,3.5,3.409090909090909,4.6,4.2,20.0,OVER,36.0,0.733,54.3,LOW,134,-180,2026-09-23,-1.5,176.5,4.238636363636363,0.6317,0.3683,0.0,1.0,2.0,4.0,5.0,8.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,31.185,,0.13621,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0086, ""bounded_matchup_factor"": 1.0094, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0094, ""sample_games"": 44, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.6317,0.3993154592127781,23.238454078722192,0.47817800000000005,134.0
Jordin Canada,ATL,NY,REB,3.5,3.5476190476190474,2.0,2.5,-28.6,UNDER,55.0,0.558,52.6,MEDIUM,116,-154,2026-09-23,-1.5,176.5,2.548185941043084,0.2432,0.7568,0.0,1.0,2.0,2.0,3.0,5.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,30.505,,0.08165,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 1.0086, ""bounded_matchup_factor"": 1.0094, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 212, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 1.0094, ""sample_games"": 42, ""shrinkage_weight"": 0.9138, ""source"": ""wnba_player_game_logs""}",0.7568,0.5670257738988136,18.977422610118644,0.24822857142857144,-154.0
DeWanna Bonner,ATL,NY,PTS,7.5,10.414634146341463,9.2,9.2,22.7,OVER,71.0,0.548,52.5,HIGH,-104,-125,2026-09-23,-1.5,176.5,9.206424747174301,0.6008,0.3992,0.0,3.0,5.0,9.0,12.0,16.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,23.682,,0.38891,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9815, ""bounded_matchup_factor"": 0.9791, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 152, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9791, ""sample_games"": 41, ""shrinkage_weight"": 0.8837, ""source"": ""wnba_player_game_logs""}",0.6008,0.47852760736196315,12.227239263803686,0.17849230769230773,-104.0
Angel Reese,ATL,NY,PTS,15.5,16.25581395348837,20.4,19.3,24.5,OVER,53.0,0.379,52.1,LOW,-128,-102,2026-09-23,-1.5,176.5,19.261222282314765,0.662,0.338,0.0,11.0,14.0,18.0,24.0,29.0,deterministic_empirical_minutes_x_rate,wnba_empirical_minutes_rates_v1,31.313,,0.6202,unavailable_no_direct_evidence,unavailable_no_direct_evidence,HIGH,"{""applied_matchup_factor"": 0.9815, ""bounded_matchup_factor"": 0.9791, ""conversion_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""matchup_sample"": 152, ""matchup_source"": ""position_dvp"", ""model_mean_definition"": ""mean of discrete empirical scenarios"", ""opportunity_component"": {""reason"": ""no tracking-derived opportunities"", ""status"": ""unavailable_no_direct_evidence""}, ""outcome_per_minute_is_box_score_derived"": true, ""pregame_cutoff"": ""2026-09-23"", ""raw_matchup_factor"": 0.9791, ""sample_games"": 43, ""shrinkage_weight"": 0.8837, ""source"": ""wnba_player_game_logs""}",0.662,0.5264701091382962,13.552989086170387,0.1791875,-128.0
